user_id,time_seq,time_point,cate_8_time_point,lookcate8num,lookcate8brandnum
200001,10,10,1,2,1
200002,74,19,6,17,5
200003,73,13,9,79,15
200004,17,4,3,5,3
200005,25,9,3,9,2
200006,31,7,7,28,8
200007,69,8,2,3,1
200008,69,12,7,31,11
200009,33,8,5,7,6
200010,50,4,4,7,3
200011,31,5,5,13,2
200012,41,14,8,12,9
200013,23,15,4,8,3
200014,31,20,8,23,5
200015,50,21,8,126,10
200016,68,12,8,14,5
200017,7,3,1,1,1
200018,50,4,3,6,2
200019,32,4,4,6,4
200020,0,0,0,0,0
200021,37,5,5,18,7
200022,53,12,7,11,5
200023,74,1,1,1,1
200024,60,9,6,15,8
200025,6,6,6,18,6
200026,27,4,4,4,3
200027,71,18,8,21,2
200028,31,24,12,13,2
200029,67,6,6,20,9
200030,67,20,7,27,8
200031,53,13,7,9,5
200032,68,27,6,4,1
200033,42,8,6,10,4
200034,38,1,1,3,2
200035,71,10,6,135,21
200036,38,17,6,8,5
200037,36,11,3,7,1
200038,43,35,16,12,7
200039,37,3,2,4,3
200040,35,10,10,51,9
200041,40,14,11,27,6
200042,27,4,4,10,4
200043,35,16,4,5,3
200044,72,27,4,4,3
200045,72,37,18,14,4
200046,59,12,12,16,6
200047,58,25,6,7,2
200048,40,2,2,2,1
200049,60,12,6,5,5
200050,45,7,7,24,6
200051,24,7,3,3,2
200052,55,15,10,13,6
200053,0,7,0,0,0
200054,33,15,5,17,7
200055,42,15,9,34,11
200056,53,5,4,7,3
200057,35,18,6,8,4
200058,40,17,7,11,5
200059,39,22,6,7,2
200060,49,5,5,15,3
200061,54,7,7,9,4
200062,21,10,3,8,4
200063,74,24,9,30,5
200064,36,8,5,11,6
200065,70,6,3,2,1
200066,19,6,6,20,5
200067,16,2,2,5,5
200068,50,19,5,11,4
200069,31,12,5,7,2
200070,39,18,4,7,1
200071,36,13,3,3,2
200072,59,8,4,4,1
200073,73,5,3,4,3
200074,32,3,3,6,1
200075,72,15,10,20,7
200076,38,5,5,19,7
200077,0,1,0,0,0
200078,33,11,10,14,4
200079,23,8,3,4,2
200080,64,9,6,10,2
200081,4,11,2,5,1
200082,49,11,8,25,8
200083,3,5,3,3,1
200084,58,4,3,3,1
200085,54,19,18,31,5
200086,71,5,3,9,4
200087,53,20,6,18,6
200088,16,7,7,32,5
200089,69,20,11,11,4
200090,48,7,2,3,1
200091,8,13,2,17,9
200092,53,41,8,24,5
200093,24,16,3,6,3
200094,0,1,1,1,1
200095,57,8,6,14,7
200096,69,10,10,30,5
200097,41,17,6,10,2
200098,59,16,6,6,4
200099,50,5,2,2,1
200100,34,17,5,7,4
200101,51,14,11,11,3
200102,57,15,10,26,5
200103,42,2,2,5,3
200104,52,20,10,49,7
200105,57,11,11,27,7
200106,1,1,1,2,2
200107,5,6,6,9,3
200108,64,30,6,15,4
200109,72,5,4,5,4
200110,60,7,6,10,1
200111,48,4,2,2,2
200112,47,5,4,12,2
200113,67,33,5,8,4
200114,43,2,1,1,1
200115,48,8,6,17,3
200116,24,7,2,2,1
200117,12,4,3,12,6
200118,40,52,3,3,2
200119,55,16,5,2,2
200120,40,25,7,7,1
200121,52,25,9,7,2
200122,73,7,3,8,5
200123,35,3,2,4,2
200124,37,7,2,4,4
200125,58,4,1,1,1
200126,30,4,1,1,1
200127,22,18,3,5,2
200128,34,4,4,8,2
200129,37,5,2,4,1
200130,43,44,13,15,7
200131,56,6,2,6,5
200132,72,10,7,31,6
200133,48,13,11,45,4
200134,20,15,3,8,6
200135,31,15,3,3,1
200136,60,16,2,1,1
200137,26,4,2,2,2
200138,45,8,5,10,5
200139,71,13,11,27,4
200140,74,2,2,13,5
200141,62,8,7,12,4
200142,54,3,3,3,2
200143,52,11,5,49,7
200144,60,41,11,29,4
200145,44,11,4,8,4
200146,3,1,1,2,2
200147,63,11,6,8,6
200148,71,5,4,5,4
200149,62,2,1,2,1
200150,55,24,4,5,3
200151,73,6,5,6,3
200152,72,6,4,3,2
200153,64,4,3,6,4
200154,18,6,4,4,2
200155,57,26,8,16,4
200156,36,8,8,7,6
200157,49,7,7,45,9
200158,7,8,2,1,1
200159,51,7,3,9,4
200160,26,6,2,2,1
200161,67,5,4,3,2
200162,46,10,8,9,7
200163,73,2,2,8,3
200164,61,12,9,32,6
200165,40,15,2,7,3
200166,49,6,6,13,3
200167,60,11,10,35,6
200168,41,13,7,12,5
200169,57,7,4,9,4
200170,50,2,2,2,1
200171,35,12,1,1,1
200172,65,11,4,7,4
200173,61,5,1,1,1
200174,67,1,1,1,1
200175,35,11,10,16,8
200176,34,7,6,7,2
200177,31,10,6,16,5
200178,48,8,5,4,2
200179,46,12,9,23,6
200180,44,11,9,7,3
200181,74,6,6,10,3
200182,31,6,6,33,3
200183,73,3,3,1,1
200184,16,8,8,14,5
200185,66,12,3,2,1
200186,60,6,2,4,1
200187,43,11,10,46,15
200188,74,10,6,19,3
200189,69,14,5,21,4
200190,46,13,7,18,9
200191,74,11,10,15,4
200192,32,6,3,6,3
200193,74,13,11,34,6
200194,43,9,3,6,4
200195,57,3,3,3,1
200196,26,5,3,3,3
200197,40,11,7,12,1
200198,4,1,1,1,1
200199,35,7,5,10,4
200200,5,4,4,14,5
200201,74,6,6,3,1
200202,56,4,4,5,4
200203,40,9,3,7,1
200204,68,3,2,3,3
200205,43,6,5,7,4
200206,28,8,8,13,4
200207,44,3,2,4,3
200208,42,2,2,5,4
200209,74,4,2,3,2
200210,30,2,1,1,1
200211,49,9,7,10,6
200212,35,8,8,19,4
200213,13,20,2,6,3
200214,40,10,7,2,2
200215,74,13,6,9,4
200216,27,7,5,11,1
200217,69,10,10,17,7
200218,38,2,2,4,1
200219,74,11,3,5,4
200220,70,27,12,25,5
200221,56,7,6,8,4
200222,62,45,6,17,4
200223,35,37,5,13,2
200224,74,13,7,19,4
200225,41,11,11,7,3
200226,40,8,5,23,2
200227,74,15,15,18,4
200228,1,9,1,4,3
200229,45,4,2,21,9
200230,29,5,3,10,5
200231,37,5,4,7,3
200232,19,7,2,2,1
200233,40,21,16,23,3
200234,25,15,7,8,4
200235,59,21,14,23,5
200236,29,11,7,16,3
200237,35,8,8,16,7
200238,10,5,3,9,7
200239,18,10,3,19,5
